,id,gen,sp,ssp,group,en,rec,cnt,loc,lat,lng,alt,type,sex,stage,method,url,file,file-name,sono,osci,lic,q,length,time,date,uploaded,also,rmk,bird-seen,animal-seen,playback-used,temp,regnr,auto,dvc,mic,smp
10,400803,Gallinula,chloropus,pyrrhorrhoa,birds,Common Moorhen,Cedric Mroczko,France,"Etang du Gol, Saint-Louis, Reunion Island",-21.2854,55.3882,10,call,,,field recording,//xeno-canto.org/400803,https://xeno-canto.org/400803/download,XC400803-170923_0015.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400803-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400803-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400803-large.png', 'full': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400803-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400803-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400803-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400803-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:02,17:05,2017-09-23,2018-01-27,['Zosterops borbonicus'],,yes,yes,no,,,no,,,48000
11,400869,Gallinula,chloropus,pyrrhorrhoa,birds,Common Moorhen,Cedric Mroczko,France,"Etang du Gol, Saint-Louis, Reunion Island",-21.2854,55.3882,10,call,,,field recording,//xeno-canto.org/400869,https://xeno-canto.org/400869/download,XC400869-170924_0045.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400869-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400869-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400869-large.png', 'full': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400869-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400869-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400869-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400869-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,C,0:23,09:45,2017-09-24,2018-01-28,"['Geopelia striata', 'Acridotheres tristis', 'Ploceus cucullatus', 'Gallinula chloropus']","High-pass filtered (250Hz, 12dB)",no,no,no,,,no,,,48000
12,400866,Gallinula,chloropus,pyrrhorrhoa,birds,Common Moorhen,Cedric Mroczko,France,"Etang du Gol, Saint-Louis, Reunion Island",-21.2854,55.3882,10,call,,,field recording,//xeno-canto.org/400866,https://xeno-canto.org/400866/download,XC400866-170924_0042.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400866-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400866-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400866-large.png', 'full': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400866-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400866-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400866-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400866-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,C,0:06,09:25,2017-09-24,2018-01-28,"['Geopelia striata', 'Pycnonotus jocosus', 'Gallinula chloropus', 'Zosterops borbonicus']","High-pass filtered (250Hz, 12dB)",no,no,no,,,no,,,48000
13,400811,Gallinula,chloropus,pyrrhorrhoa,birds,Common Moorhen,Cedric Mroczko,France,"Etang du Gol, Saint-Louis, Reunion Island",-21.2854,55.3882,10,call,,,field recording,//xeno-canto.org/400811,https://xeno-canto.org/400811/download,XC400811-170923_0024.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400811-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400811-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400811-large.png', 'full': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400811-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400811-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400811-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400811-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,C,0:03,17:45,2017-09-23,2018-01-27,"['Pycnonotus jocosus', 'Zosterops borbonicus']",,no,no,no,,,no,,,48000
14,400810,Gallinula,chloropus,pyrrhorrhoa,birds,Common Moorhen,Cedric Mroczko,France,"Etang du Gol, Saint-Louis, Reunion Island",-21.2854,55.3882,10,call,,,field recording,//xeno-canto.org/400810,https://xeno-canto.org/400810/download,XC400810-170923_0023.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400810-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400810-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400810-large.png', 'full': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400810-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400810-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400810-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400810-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,C,0:02,17:45,2017-09-23,2018-01-27,"['Pycnonotus jocosus', 'Foudia madagascariensis']",,yes,yes,no,,,no,,,48000
15,400805,Gallinula,chloropus,pyrrhorrhoa,birds,Common Moorhen,Cedric Mroczko,France,"Etang du Gol, Saint-Louis, Reunion Island",-21.2854,55.3882,10,call,,,field recording,//xeno-canto.org/400805,https://xeno-canto.org/400805/download,XC400805-170923_0019.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400805-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400805-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400805-large.png', 'full': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400805-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400805-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400805-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400805-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,C,0:36,17:35,2017-09-23,2018-01-27,"['Pycnonotus jocosus', 'Estrilda astrild', 'Zosterops borbonicus']","High-pass filtered (500HZ, 6dB)",no,no,no,,,no,,,48000
16,400802,Gallinula,chloropus,pyrrhorrhoa,birds,Common Moorhen,Cedric Mroczko,France,"Etang du Gol, Saint-Louis, Reunion Island",-21.2854,55.3882,10,call,,,field recording,//xeno-canto.org/400802,https://xeno-canto.org/400802/download,XC400802-170923_0014.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400802-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400802-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400802-large.png', 'full': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400802-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400802-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400802-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400802-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,C,0:07,17:05,2017-09-23,2018-01-27,"['Acridotheres tristis', 'Zosterops borbonicus']",,yes,yes,no,,,no,,,48000
17,400797,Gallinula,chloropus,pyrrhorrhoa,birds,Common Moorhen,Cedric Mroczko,France,"Etang du Gol, Saint-Louis, Reunion Island",-21.2854,55.3882,10,call,,,field recording,//xeno-canto.org/400797,https://xeno-canto.org/400797/download,XC400797-170922_0007.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400797-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400797-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400797-large.png', 'full': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400797-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400797-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400797-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400797-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,C,0:08,18:15,2017-09-22,2018-01-27,['Foudia madagascariensis'],,yes,yes,no,,,no,,,48000
18,400859,Butorides,striata,javanica,birds,Striated Heron,Cedric Mroczko,France,"Etang du Gol, Saint-Louis, Reunion Island",-21.2854,55.3882,10,flight call,,,field recording,//xeno-canto.org/400859,https://xeno-canto.org/400859/download,XC400859-170924_0033.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400859-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400859-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400859-large.png', 'full': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400859-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400859-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400859-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400859-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:04,09:10,2017-09-24,2018-01-28,"['Geopelia striata', 'Ploceus cucullatus']",,yes,yes,no,,,no,,,48000
19,400858,Butorides,striata,javanica,birds,Striated Heron,Cedric Mroczko,France,"Etang du Gol, Saint-Louis, Reunion Island",-21.2854,55.3882,10,flight call,,,field recording,//xeno-canto.org/400858,https://xeno-canto.org/400858/download,XC400858-170924_0032.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400858-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400858-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400858-large.png', 'full': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400858-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400858-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400858-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400858-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:03,09:10,2017-09-24,2018-01-28,['Geopelia striata'],,yes,yes,no,,,no,,,48000
