,id,rec,loc,gen,sp,lat,lng,alt,type,q,length,bird-seen,file,en
32,148690,Johannes Fischer,"Plaine de Chicots, Reunion",Lalage,newtoni,-20.9667,55.4334,1400,song,C,0:04,yes,https://xeno-canto.org/148690/download,Reunion Cuckooshrike
33,157028,Phil Gregory,"Roche Ecrite trail, Reunion NPm above Mamode camp",Lalage,newtoni,-20.9623,55.4403,1400,call,D,0:26,no,https://xeno-canto.org/157028/download,Reunion Cuckooshrike
34,463219,Étienne Leroy,"La Roche Ecrite Nature Reserve, Réunion",Terpsiphone,bourbonnensis,-20.9699,55.4407,1500,call,A,0:13,yes,https://xeno-canto.org/463219/download,Mascarene Paradise Flycatcher
35,463218,Étienne Leroy,"La Roche Ecrite Nature Reserve, Réunion",Terpsiphone,bourbonnensis,-20.9699,55.4407,1500,begging call,A,0:20,yes,https://xeno-canto.org/463218/download,Mascarene Paradise Flycatcher
36,462821,Cedric Mroczko,"Forêt de Mare Longue, Saint-Philippe, Reunion Island, France, Réunion, France",Terpsiphone,bourbonnensis,-21.3648,55.7477,30,song,A,0:07,yes,https://xeno-canto.org/462821/download,Mascarene Paradise Flycatcher
37,462818,Cedric Mroczko,"Forêt de Mare Longue, Saint-Philippe, Reunion Island, France, Réunion, France",Terpsiphone,bourbonnensis,-21.3648,55.7477,30,song,A,0:13,yes,https://xeno-canto.org/462818/download,Mascarene Paradise Flycatcher
38,155362,Hans Matheve,"La Roche Ecrite Nature Reserve, Réunion",Terpsiphone,bourbonnensis,-20.9699,55.4407,1500,call,A,0:23,yes,https://xeno-canto.org/155362/download,Mascarene Paradise Flycatcher
39,155361,Hans Matheve,"La Roche Ecrite Nature Reserve, Réunion",Terpsiphone,bourbonnensis,-20.9699,55.4407,1500,call,A,0:43,yes,https://xeno-canto.org/155361/download,Mascarene Paradise Flycatcher
40,462820,Cedric Mroczko,"Forêt de Mare Longue, Saint-Philippe, Reunion Island, France, Réunion, France",Terpsiphone,bourbonnensis,-21.3648,55.7477,30,song,B,0:04,yes,https://xeno-canto.org/462820/download,Mascarene Paradise Flycatcher
41,462819,Cedric Mroczko,"Forêt de Mare Longue, Saint-Philippe, Reunion Island, France, Réunion, France",Terpsiphone,bourbonnensis,-21.3648,55.7477,30,song,B,0:08,yes,https://xeno-canto.org/462819/download,Mascarene Paradise Flycatcher
42,400971,Cedric Mroczko,"Forêt de Mare Longue, Saint-Philippe, Reunion Island",Terpsiphone,bourbonnensis,-21.3615,55.7438,70,call,B,0:11,yes,https://xeno-canto.org/400971/download,Mascarene Paradise Flycatcher
43,305042,Daniel Danckwerts,"Roche Ecrite trail, Reunion NP",Terpsiphone,bourbonnensis,-20.9623,55.4403,1400,alarm call,B,0:28,yes,https://xeno-canto.org/305042/download,Mascarene Paradise Flycatcher
44,462825,Cedric Mroczko,"Anciens Thermes, Cialos, Reunion Island",Terpsiphone,bourbonnensis,-21.1311,55.4709,1200,song,C,0:04,yes,https://xeno-canto.org/462825/download,Mascarene Paradise Flycatcher
45,462796,Cedric Mroczko," Forêt de Mare Longue, Saint-Philippe, Reunion Island, France",Terpsiphone,bourbonnensis,-21.3588,55.7461,130,call,C,0:27,yes,https://xeno-canto.org/462796/download,Mascarene Paradise Flycatcher
46,462795,Cedric Mroczko," Forêt de Mare Longue, Saint-Philippe, Reunion Island, France",Terpsiphone,bourbonnensis,-21.3588,55.7461,130,call,D,0:22,yes,https://xeno-canto.org/462795/download,Mascarene Paradise Flycatcher
47,462813,Cedric Mroczko," Forêt de Mare Longue, Saint-Philippe, Reunion Island",Pycnonotus,jocosus,-21.3554,55.7397,200,song,B,0:40,yes,https://xeno-canto.org/462813/download,Red-whiskered Bulbul
48,462797,Cedric Mroczko," Forêt de Mare Longue, Saint-Philippe, Reunion Island, France",Pycnonotus,jocosus,-21.3588,55.7461,130,call,B,0:10,yes,https://xeno-canto.org/462797/download,Red-whiskered Bulbul
49,400982,Cedric Mroczko,"Forêt de Mare Longue, Saint-Philippe, Reunion Island",Pycnonotus,jocosus,-21.3615,55.7438,70,song,B,0:40,yes,https://xeno-canto.org/400982/download,Red-whiskered Bulbul
50,400969,Cedric Mroczko," Forêt de Mare Longue, Saint-Philippe, Reunion Island",Pycnonotus,jocosus,-21.3652,55.7437,30,song,B,0:15,yes,https://xeno-canto.org/400969/download,Red-whiskered Bulbul
51,400967,Cedric Mroczko," Forêt de Mare Longue, Saint-Philippe, Reunion Island",Pycnonotus,jocosus,-21.3652,55.7437,30,song,B,0:19,yes,https://xeno-canto.org/400967/download,Red-whiskered Bulbul
52,400904,Cedric Mroczko,"Forêt Domaniale de Saint-Paul, Saint-Paul, Reunion Island",Pycnonotus,jocosus,-20.9782,55.2837,10,song,B,3:36,yes,https://xeno-canto.org/400904/download,Red-whiskered Bulbul
53,400857,Cedric Mroczko,"Etang du Gol, Saint-Louis, Reunion Island",Pycnonotus,jocosus,-21.2854,55.3882,10,call,B,0:20,yes,https://xeno-canto.org/400857/download,Red-whiskered Bulbul
54,26326,Daniel Lane,"Roche Ecrite trail, Reunion NP ",Pycnonotus,jocosus,-20.9623,55.4403,1400,song,B,0:46,unknown,https://xeno-canto.org/26326/download,Red-whiskered Bulbul
55,400923,Cedric Mroczko," Forêt de Mare Longue, Saint-Philippe, Reunion Island",Pycnonotus,jocosus,-21.3652,55.7437,30,call,E,0:12,yes,https://xeno-canto.org/400923/download,Red-whiskered Bulbul
56,463225,Étienne Leroy,"La Roche Ecrite Nature Reserve, Réunion",Hypsipetes,borbonicus,-20.9699,55.4407,1500,song,A,0:46,yes,https://xeno-canto.org/463225/download,Reunion Bulbul
57,463224,Étienne Leroy,"La Roche Ecrite Nature Reserve, Réunion",Hypsipetes,borbonicus,-20.9699,55.4407,1500,"call, song",A,0:26,yes,https://xeno-canto.org/463224/download,Reunion Bulbul
58,463216,Étienne Leroy,"La Roche Ecrite Nature Reserve, Réunion",Hypsipetes,borbonicus,-20.9699,55.4407,1500,song,A,1:02,yes,https://xeno-canto.org/463216/download,Reunion Bulbul
59,463215,Étienne Leroy,"La Roche Ecrite Nature Reserve, Réunion",Hypsipetes,borbonicus,-20.9699,55.4407,1500,song,A,1:00,yes,https://xeno-canto.org/463215/download,Reunion Bulbul
60,463022,Cedric Mroczko,"Le Bloc, Cilaos, Reunion Island",Hypsipetes,borbonicus,-21.1212,55.4844,1500,call,A,0:17,yes,https://xeno-canto.org/463022/download,Reunion Bulbul
61,462932,Cedric Mroczko,"Cilaos, Reunion Island",Hypsipetes,borbonicus,-21.1133,55.4926,1900,song,A,1:20,yes,https://xeno-canto.org/462932/download,Reunion Bulbul
62,462920,Cedric Mroczko,"Roche Merveilleuse, Cilaos, Reunion Island",Hypsipetes,borbonicus,-21.1276,55.4828,1400,"call, duet, song",A,4:59,yes,https://xeno-canto.org/462920/download,Reunion Bulbul
63,462868,Cedric Mroczko,"Roche Merveilleuse, Cilaos, Reunion Island",Hypsipetes,borbonicus,-21.126,55.482,1400,call,A,0:20,yes,https://xeno-canto.org/462868/download,Reunion Bulbul
64,462807,Cedric Mroczko," Forêt de Mare Longue, Saint-Philippe, Reunion Island, France",Hypsipetes,borbonicus,-21.3588,55.7461,130,song,A,1:16,yes,https://xeno-canto.org/462807/download,Reunion Bulbul
65,401683,Cedric Mroczko,"Forêt de Mare Longue, Saint-Philippe, Reunion Island",Hypsipetes,borbonicus,-21.3546,55.742,220,call,A,0:12,yes,https://xeno-canto.org/401683/download,Reunion Bulbul
66,462928,Cedric Mroczko,"Cilaos, Reunion Island",Hypsipetes,borbonicus,-21.1133,55.4926,1900,song,B,0:03,yes,https://xeno-canto.org/462928/download,Reunion Bulbul
67,462881,Cedric Mroczko,"Roche Merveilleuse, Cilaos, Reunion Island",Hypsipetes,borbonicus,-21.1276,55.4828,1400,song,B,0:58,yes,https://xeno-canto.org/462881/download,Reunion Bulbul
68,462877,Cedric Mroczko,"Roche Merveilleuse, Cilaos, Reunion Island",Hypsipetes,borbonicus,-21.126,55.482,1400,song,B,3:44,no,https://xeno-canto.org/462877/download,Reunion Bulbul
69,462855,Cedric Mroczko,"Roche Merveilleuse, Cilaos, Reunion Island",Hypsipetes,borbonicus,-21.126,55.482,1400,song,B,0:24,yes,https://xeno-canto.org/462855/download,Reunion Bulbul
70,462817,Cedric Mroczko,"Forêt de Mare Longue, Saint-Philippe, Reunion Island, France, Réunion",Hypsipetes,borbonicus,-21.3593,55.7465,100,"call, cat call",B,1:27,yes,https://xeno-canto.org/462817/download,Reunion Bulbul
71,462803,Cedric Mroczko," Forêt de Mare Longue, Saint-Philippe, Reunion Island, France",Hypsipetes,borbonicus,-21.3588,55.7461,130,call,B,0:12,yes,https://xeno-canto.org/462803/download,Reunion Bulbul
72,462801,Cedric Mroczko," Forêt de Mare Longue, Saint-Philippe, Reunion Island, France",Hypsipetes,borbonicus,-21.3588,55.7461,130,call,B,0:43,yes,https://xeno-canto.org/462801/download,Reunion Bulbul
73,462800,Cedric Mroczko," Forêt de Mare Longue, Saint-Philippe, Reunion Island, France",Hypsipetes,borbonicus,-21.3588,55.7461,130,call,B,1:05,yes,https://xeno-canto.org/462800/download,Reunion Bulbul
74,401680,Cedric Mroczko,"Forêt de Mare Longue, Saint-Philippe, Reunion Island",Hypsipetes,borbonicus,-21.3546,55.742,220,call,B,0:40,no,https://xeno-canto.org/401680/download,Reunion Bulbul
75,401679,Cedric Mroczko,"Forêt de Mare Longue, Saint-Philippe, Reunion Island",Hypsipetes,borbonicus,-21.3546,55.742,220,call,B,0:15,no,https://xeno-canto.org/401679/download,Reunion Bulbul
76,400979,Cedric Mroczko,"Forêt de Mare Longue, Saint-Philippe, Reunion Island",Hypsipetes,borbonicus,-21.3615,55.7438,70,call,B,0:35,yes,https://xeno-canto.org/400979/download,Reunion Bulbul
77,155392,Hans Matheve,"La Roche Ecrite Nature Reserve, Réunion",Hypsipetes,borbonicus,-20.9699,55.4407,1500,song,B,0:08,yes,https://xeno-canto.org/155392/download,Reunion Bulbul
78,155391,Hans Matheve,"La Roche Ecrite Nature Reserve, Réunion",Hypsipetes,borbonicus,-20.9699,55.4407,1500,song,B,1:01,yes,https://xeno-canto.org/155391/download,Reunion Bulbul
79,155390,Hans Matheve,"La Roche Ecrite Nature Reserve, Réunion",Hypsipetes,borbonicus,-20.9699,55.4407,1500,song,B,0:50,yes,https://xeno-canto.org/155390/download,Reunion Bulbul
80,155389,Hans Matheve,"La Roche Ecrite Nature Reserve, Réunion",Hypsipetes,borbonicus,-20.9699,55.4407,1500,call,B,0:26,yes,https://xeno-canto.org/155389/download,Reunion Bulbul
81,26318,Daniel Lane,"Roche Ecrite trail, Reunion NP ",Hypsipetes,borbonicus,-20.9623,55.4403,1400,song,B,0:45,unknown,https://xeno-canto.org/26318/download,Reunion Bulbul
82,26221,Daniel Lane,"Roche Ecrite trail, Reunion NP ",Hypsipetes,borbonicus,-20.9623,55.4403,1400,call,B,0:26,unknown,https://xeno-canto.org/26221/download,Reunion Bulbul
83,462934,Cedric Mroczko,"Cilaos, Reunion Island",Hypsipetes,borbonicus,-21.1133,55.4926,1900,song,C,1:19,yes,https://xeno-canto.org/462934/download,Reunion Bulbul
84,462878,Cedric Mroczko,"Roche Merveilleuse, Cilaos, Reunion Island",Hypsipetes,borbonicus,-21.126,55.482,1400,song,C,0:26,no,https://xeno-canto.org/462878/download,Reunion Bulbul
85,462862,Cedric Mroczko,"Roche Merveilleuse, Cilaos, Reunion Island",Hypsipetes,borbonicus,-21.126,55.482,1400,call,C,0:23,yes,https://xeno-canto.org/462862/download,Reunion Bulbul
86,462808,Cedric Mroczko," Forêt de Mare Longue, Saint-Philippe, Reunion Island",Hypsipetes,borbonicus,-21.3554,55.7397,200,call,C,0:13,yes,https://xeno-canto.org/462808/download,Reunion Bulbul
87,400963,Cedric Mroczko," Forêt de Mare Longue, Saint-Philippe, Reunion Island",Hypsipetes,borbonicus,-21.3652,55.7437,30,call,C,0:10,yes,https://xeno-canto.org/400963/download,Reunion Bulbul
