,id,rec,loc,gen,sp,lat,lng,alt,type,q,length,bird-seen,file,en
136,301910,Teet Sirotkin,"Gorongosa, Sofala",Oriolus,chlorocephalus,-18.4653,34.0521,1100,song,B,0:50,yes,https://xeno-canto.org/301910/download,Green-headed Oriole
137,540578,Paweł Szymański,"Chitengo, Gorongosa, Sofala",Oriolus,larvatus,-18.9799,34.3576,40,song,A,0:35,yes,https://xeno-canto.org/540578/download,Black-headed Oriole
138,652469,Niall Perrins,"San Sebastian, Vilanculos, Inhambane",Dicrurus,ludwigii,-22.1523,35.4801,20,call,A,1:04,yes,https://xeno-canto.org/652469/download,Common Square-tailed Drongo
139,59749,Bram Piot,Inhaca island,Dicrurus,ludwigii,-26.023,32.907,10,call,A,0:27,yes,https://xeno-canto.org/59749/download,Common Square-tailed Drongo
140,104060,Bram Piot,Inhaca island,Dicrurus,ludwigii,-26.0228,32.907,20,song,B,0:59,yes,https://xeno-canto.org/104060/download,Common Square-tailed Drongo
141,104059,Bram Piot,Inhaca island,Dicrurus,ludwigii,-26.0228,32.907,20,song,B,0:27,yes,https://xeno-canto.org/104059/download,Common Square-tailed Drongo
142,59748,Bram Piot,Inhaca island,Dicrurus,ludwigii,-26.023,32.907,10,call,B,0:39,yes,https://xeno-canto.org/59748/download,Common Square-tailed Drongo
143,59747,Bram Piot,Inhaca island,Dicrurus,ludwigii,-26.023,32.907,10,call,B,0:33,yes,https://xeno-canto.org/59747/download,Common Square-tailed Drongo
144,541185,Paweł Szymański,"Chitengo, Gorongosa, Sofala",Dicrurus,adsimilis,-18.9752,34.3578,30,song,A,1:12,yes,https://xeno-canto.org/541185/download,Fork-tailed Drongo
145,201448,Niall Perrins,"Matutuíne District, Maputo",Trochocercus,cyanomelas,-26.1856,32.8951,30,song,B,0:44,yes,https://xeno-canto.org/201448/download,Blue-mantled Crested Flycatcher
146,615986,Nature sounds by Simply Birding,"Goinha, Gorongosa, Sofala Province",Terpsiphone,viridis,-18.8163,34.4959,20,song,A,0:56,yes,https://xeno-canto.org/615986/download,African Paradise Flycatcher
147,721755,Antonio Xeira,"Dona Alice - Costa do Sol, Maputo",Corvus,splendens,-25.9061,32.6335,0,call,B,0:16,yes,https://xeno-canto.org/721755/download,House Crow
148,519656,Lynette Rudman,"Beira, Beira, Sofala",Corvus,splendens,-19.846,34.8946,10,call,B,0:46,yes,https://xeno-canto.org/519656/download,House Crow
149,104058,Bram Piot,Inhaca island,Corvus,splendens,-26.0228,32.907,10,call,B,0:14,unknown,https://xeno-canto.org/104058/download,House Crow
150,100529,Rory Nefdt,"Caia, Sofala",Corvus,albus,-17.843,35.327,30,song,B,0:18,unknown,https://xeno-canto.org/100529/download,Pied Crow
151,100521,Rory Nefdt,"Caia, Sofala",Corvus,albus,-17.843,35.327,30,song,B,0:10,unknown,https://xeno-canto.org/100521/download,Pied Crow
152,652445,Niall Perrins,"San Sebastian, Vilanculos, Inhambane",Nicator,gularis,-22.1442,35.4753,30,call,A,1:49,yes,https://xeno-canto.org/652445/download,Eastern Nicator
153,520532,Lynette Rudman,"Cheringoma, Sofala",Nicator,gularis,-18.0242,35.1757,120,song,B,1:00,no,https://xeno-canto.org/520532/download,Eastern Nicator
154,185644,Niall Perrins,"Cheringoma, Sofala",Nicator,gularis,-18.2457,35.2091,260,song,B,0:56,yes,https://xeno-canto.org/185644/download,Eastern Nicator
155,185641,Niall Perrins,"Panda, Inhambane",Calendulauda,africanoides,-24.0321,34.4198,80,"flight call, song",A,0:48,yes,https://xeno-canto.org/185641/download,Fawn-colored Lark
156,449420,Gary Allport,"Matutuíne District, Maputo Province",Calendulauda,africanoides,-26.3424,32.4675,50,song,B,0:13,yes,https://xeno-canto.org/449420/download,Fawn-colored Lark
157,346035,David Moyer,"Mbatamila, Mecula, Niassa",Mirafra,africana,-12.168,37.5462,480,"flight call, song",B,0:56,yes,https://xeno-canto.org/346035/download,Rufous-naped Lark
158,519653,Lynette Rudman,"Beira, Sofala",Mirafra,rufocinnamomea,-19.7489,34.9212,10,wing flapping sound,B,0:20,yes,https://xeno-canto.org/519653/download,Flappet Lark
159,721751,Antonio Xeira,"Dona Alice - Costa do Sol, Maputo",Pycnonotus,barbatus,-25.9061,32.6335,0,song,A,0:21,no,https://xeno-canto.org/721751/download,Common Bulbul
160,524526,Lynette Rudman,"Cheringoma, Sofala",Pycnonotus,tricolor,-18.0402,35.2022,90,,B,0:38,no,https://xeno-canto.org/524526/download,Dark-capped Bulbul
161,524525,Lynette Rudman,"Cheringoma, Sofala",Pycnonotus,tricolor,-18.0403,35.202,90,song,C,0:54,no,https://xeno-canto.org/524525/download,Dark-capped Bulbul
162,523243,Lynette Rudman,"Marracuene, Maputo",Pycnonotus,tricolor,-25.7582,32.7301,10,song,C,0:39,no,https://xeno-canto.org/523243/download,Dark-capped Bulbul
163,523234,Lynette Rudman,"Marracuene, Maputo",Pycnonotus,tricolor,-25.7604,32.7306,10,song,C,1:05,yes,https://xeno-canto.org/523234/download,Dark-capped Bulbul
164,774315,Ehren Eksteen,"Mariano, Inhambane",Andropadus,importunus,-21.8639,35.4126,10,call,A,0:22,yes,https://xeno-canto.org/774315/download,Sombre Greenbul
165,652451,Niall Perrins,"San Sebastian, Vilankulo, Inhambane Province",Andropadus,importunus,-22.1357,35.4449,0,"dawn song, song",A,1:23,no,https://xeno-canto.org/652451/download,Sombre Greenbul
166,392008,Tom Wulf,"Gala Gala Eco Resort, Ponta do Ouro",Andropadus,importunus,-26.8533,32.8879,30,song,A,1:02,yes,https://xeno-canto.org/392008/download,Sombre Greenbul
167,216433,Niall Perrins,"Cheringoma, Sofala",Andropadus,importunus,-18.2454,35.2392,280,call,A,0:56,yes,https://xeno-canto.org/216433/download,Sombre Greenbul
168,104020,Bram Piot,Inhaca island,Andropadus,importunus,-26.0228,32.907,20,call,A,0:26,no,https://xeno-canto.org/104020/download,Sombre Greenbul
169,104018,Bram Piot,Inhaca island,Andropadus,importunus,-26.0228,32.907,20,song,A,1:32,yes,https://xeno-canto.org/104018/download,Sombre Greenbul
170,31659,Bram Piot,"Bilene, Gaza Province",Andropadus,importunus,-25.294992,33.253555,20,song,A,1:06,yes,https://xeno-canto.org/31659/download,Sombre Greenbul
