,id,rec,loc,gen,sp,lat,lng,alt,type,q,length,bird-seen
99,721748,Antonio Xeira,"Dona Alice - Costa do Sol, Maputo",Chalcomitra,senegalensis,-25.9061,32.6335,0,call,C,0:10,yes
100,708641,Antonio Xeira,"Dona Alice - Costa do Sol, Maputo",Chalcomitra,senegalensis,-25.9061,32.6335,0,call,C,0:17,yes
101,520072,Lynette Rudman,"Marracuene, Maputo",Cinnyris,bifasciatus,-25.77,32.7368,10,song,B,0:53,no
102,520069,Lynette Rudman,"Marracuene, Maputo",Cinnyris,bifasciatus,-25.77,32.7368,10,song,B,1:39,no
103,399256,Gary Allport,"Marracuene, Maputo",Ploceus,xanthopterus,-25.7331,32.709,10,"call, nasal twanging note",B,0:59,yes
104,451700,Antonio Xeira,"Dona Alice - Costa do Sol, Maputo",Ploceus,velatus,-25.9061,32.6335,10,song,B,2:37,yes
105,391200,Gary Allport,"Maputo, Cidade de Maputo",Quelea,erythrops,-25.9346,32.6313,0,call,B,0:05,yes
106,391097,Gary Allport,"Maputo, Cidade de Maputo",Quelea,erythrops,-25.9389,32.6248,10,call,B,0:08,yes
107,453373,Antonio Xeira,"Dona Alice - Costa do Sol, Maputo",Euplectes,orix,-25.9061,32.6335,10,song,C,0:14,yes
108,104057,Bram Piot,Inhaca island,Estrilda,astrild,-26.0228,32.907,5,song,B,0:35,yes
109,316699,Jude Allport,"Maputo, Marracuene, Cidade de Maputo",Ortygospiza,atricollis,-25.8197,32.689,0,song,B,0:49,yes
110,449457,Gary Allport,"Matutuíne District, Maputo Province",Vidua,funerea,-26.3424,32.4675,50,song,B,0:32,yes
111,453958,Barnaby,"Marracuene, Maputo",Macronyx,croceus,-25.7638,32.7396,10,song,B,0:21,unknown
112,452897,Antonio Xeira,"Dona Alice - Costa do Sol, Maputo",Macronyx,croceus,-25.9061,32.6335,10,song,B,0:08,no
113,452898,Antonio Xeira,"Dona Alice - Costa do Sol, Maputo",Macronyx,croceus,-25.9061,32.6335,10,call,C,0:24,yes
114,316658,Gary Allport,"Maputo, Marracuene, Cidade de Maputo",Macronyx,ameliae,-25.8197,32.689,0,song,D,0:32,yes
115,316661,Gary Allport,"Maputo, Marracuene, Cidade de Maputo",Macronyx,ameliae,-25.8197,32.689,0,song,E,0:17,yes
116,453378,Antonio Xeira,"Dona Alice - Costa do Sol, Maputo",Mystery,mystery,-25.9061,32.6335,10,song,A,0:15,yes
117,453377,Antonio Xeira,"Dona Alice - Costa do Sol, Maputo",Mystery,mystery,-25.9061,32.6335,10,call,A,0:22,yes
118,453375,Antonio Xeira,"Dona Alice - Costa do Sol, Maputo",Mystery,mystery,-25.9061,32.6335,10,call,A,0:15,yes
119,710790,Olivier Hamerlynck,"Marracuene District, Marracuene District, Maputo Province",Mystery,mystery,-25.7283,32.6992,0,song,B,0:43,unknown
120,705358,Olivier Hamerlynck,"Lopes, Matutuíne District, Maputo Province",Mystery,mystery,-26.8025,32.8737,20,song,B,0:29,no
121,456528,Gary Allport/ Olivier Vilaca ,"Maputo, Maputo",Mystery,mystery,-25.9315,32.6179,10,song,B,4:12,no
122,452910,Antonio Xeira,"Dona Alice - Costa do Sol, Maputo",Mystery,mystery,-25.9061,32.6335,10,song,B,0:07,no
123,713095,Olivier Hamerlynck,"First Wetland Zone 4, Macaneta, Incomati Delta, Marracuene District, Maputo Province",Mystery,mystery,-25.7331,32.703,0,uncertain,C,0:50,yes
124,704996,Antonio Xeira,"Hotel Cardoso, Maputo",Mystery,mystery,-25.9782,32.586,60,song,C,0:14,no
125,697504,Olivier Hamerlynck,"First Wetland Zone 4, Macaneta, Incomati Delta, Marracuene District, Maputo Province",Mystery,mystery,-25.7331,32.703,0,call,C,0:21,unknown
126,652992,Olivier Hamerlynck,"Marracuene District, Marracuene, Maputo",Mystery,mystery,-25.7062,32.7041,0,song,E,23:39,unknown
