,biotope,species,PC1_barycenter,PC2_barycenter,PC3_barycenter
0,Grasslands,africanoides,2.264065698418157,2.014354418615882,-1.468749393295083
1,Grasslands,atricollis ,0.35594742760457954,1.3518240277084417,-0.939101088987115
2,Grasslands,griseopyga,0.5766469738698783,1.927119374922599,-0.904544430807454
3,Grasslands,lugubris,-1.3745422546188149,0.42668889101209484,0.7409086399488957
0,Grasslands,africanoides,2.264065698418157,2.014354418615882,-1.468749393295083
1,Grasslands,atricollis ,0.35594742760457954,1.3518240277084417,-0.939101088987115
2,Grasslands,griseopyga,0.5766469738698783,1.927119374922599,-0.904544430807454
3,Grasslands,lugubris,-1.3745422546188149,0.42668889101209484,0.7409086399488957
4,Forest,olivacea,-0.09124705050876013,1.1593746910013367,-0.39307272566602847
5,Forest,fratrum,-1.5525261547932419,0.597561649270217,2.463482062882953
6,Forest,veroxii,0.7081553461452164,0.341913008374367,0.36409197066701166
7,Forest,andersonni,0.6330453352385228,1.8125574597504637,1.69644580745867
8,Forest,cyanomelas,3.227707264371333,1.0384728365699012,-0.39130583400180485
0,Grasslands,africanoides,2.264065698418157,2.014354418615882,-1.468749393295083
1,Grasslands,atricollis ,0.35594742760457954,1.3518240277084417,-0.939101088987115
2,Grasslands,griseopyga,0.5766469738698783,1.927119374922599,-0.904544430807454
3,Grasslands,lugubris,-1.3745422546188149,0.42668889101209484,0.7409086399488957
4,Forest,olivacea,-0.09124705050876013,1.1593746910013367,-0.39307272566602847
5,Forest,fratrum,-1.5525261547932419,0.597561649270217,2.463482062882953
6,Forest,veroxii,0.7081553461452164,0.341913008374367,0.36409197066701166
7,Forest,andersonni,0.6330453352385228,1.8125574597504637,1.69644580745867
8,Forest,cyanomelas,3.227707264371333,1.0384728365699012,-0.39130583400180485
9,Wetlands,vermiculatus,0.8792357751110855,0.42522305409635885,5.187001014109347
10,Wetlands,baeticatus,0.5829789211544212,0.4387156401784501,-0.33651983684997205
11,Wetlands,angulata,-0.6458064537948733,0.8614595438344145,-0.6775934810391808
12,Wetlands,flavirostra,-0.5706201669703367,-0.15856441413998446,-0.10436888870801322
13,Wetlands,xanthopterus,-1.8252071029951826,-0.12156951608082901,0.9926314424146617
14,Wetlands,rufa,-0.2828093879550961,1.1594599115806066,1.0465510404037401
